1XW7Nl1OHHzL2mxzuK1RxEXYzo9kJPctM78TyTB9Sxyc	lux-site	Загальна	2024	01.02.2024 Протокол зустрічі LuxSite.docx
1vlbfVqqiFs7vpE9tqUZDYsAxo-xrVq3dIjnv3Nj1zMk	2-архів	Загальна	2023	01.06.23_Протокол зустрічі.docx
1UUAp9IwWmM0yaD7mbeVXNKP5ociXVWH7stcswkARSB4	строй-тек-фасад-майстер	Загальна	2025	02.05.2025_Протокол.docx
12rrTdvWsEP3XMocAN-Z-qluJHsjcHvd-	youcontrol	Збір вимог	2026	04-06-2026 Протокол обстеження CRM Nethunt та 1С: бізнес-процеси та аналітика доходів.docx
1wRRwzaToAgiy5V5NXEwpXOjP3-DFL_PLSShu-WL6IRU	elfa-group	Загальна	2025	05.03.2025 Протокол зустрічі.docx
1YtgeG87tFNf619-3VaKq_DYN4Vjidi9fQAfwfshvMrc	2-архів	Загальна	2023	06.06.23_Протокол зустрічі.docx
1xD_tW96q9mK2tH7iCJExkw0C4i_In2PD9xbDeBY3dtI	строй-тек-фасад-майстер	Загальна	2025	07.05.2025 Протокол .docx
1M4ZC4JaDlSMlBNF8Dx_RNou1BltguyLxFB62fJxjUGE	2-архів	Збір вимог	2023	07.09.2023 Протокол обстеження (проведення інтерв'ю) ТОВ "ВІАТЕК" .docx
1T-LC0EWWum_AgC2q6mzpBWrdlktcunM7	2-архів	Збір вимог	2024	08.08.2024_Протокол проведення інтерв'ю_CF direct.docx
1_4ce8qQXoZuk4lGQ5uvtdO-5DlKYqwXCMzrMyc5_kLE	universalna	Загальна	2024	09.04.2024 Протокол зустрічі.docx
1-py3lRFAHEEufvbSofsEaYRfZ4o15U20	k-export	Збір вимог	2024	09.05.2024 Протокол обстеження (проведення інтерв'ю) K-Export.docx
1IEChR0swTc8fyQzu4zrFBytDRQYSIFkEDxtIVJZXIlU	строй-тек-фасад-майстер	Збір вимог	2025	09.05.25 Протокол (проведення інтерв'ю).docx
1o-Ag-SN-zB3XZ4s-rr35XoGKTn9LYIma	k-export	Збір вимог	2024	09.08.2024 Протокол проведення інтерв'ю K-Export.docx
1ec06aooaH44B65YNaYuUpgkM-n0F6Y0GOfpErbji6Cc	universalna	Загальна	2024	10.04.2024 Протокол зустрічі.docx
1RTe-9R4_PRyN8wVmY_ut7IbegcbWmpOh	2-архів	Збір вимог	2024	10.05.2024 Get-IT Протокол обстеження (проведення інтерв_ю).docx
10TXqBy3QHsLxtvA6KG1ACFX71yFujBOpxhw7FXP75os	2-архів	Загальна	2023	12.06.23_Протокол зустрічі .docx
17Kk2hpZgiyrmZAPkC5Qr9Dg9RQrb14aC	2-архів	Демонстрація	2024	13.08.2024_Протокол демонстації блоку ЗП.docx
1eBSLkI7fk54oU5R2PqpNMa3FLmihQJ_irvaCuhf0ngg	elfa-group	Загальна	2025	14.03.2025 Протокол зустрічі.docx
1UlAIbo1zC16Eg3wxkorTPUPqvi7b7phoLr-YqAPBdps	2-архів	Збір вимог	2023	14.09.2023 Протокол обстеження (проведення інтерв'ю) ТОВ "ВІАТЕК" .docx
1TgThUc2zqjYOEedBVjtlvzmcIN2CmmnZItqizqu5YpM	строй-тек-фасад-майстер	Збір вимог	2025	15.05.2025 Протокол (проведення інтерв'ю).docx
14PjITXIBJyrRrUJqS3ykE2IBxhep5kd9v-Sxi474_YU	строй-тек-фасад-майстер	Загальна	2025	16.05.2025. Протокол .docx
1frlcQd4tNRNmXaolB_YIbj2FL587L17V	k-export	Збір вимог	2024	17.05.2024 Протокол обстеження (проведення інтерв'ю) K-Export.docx
1N6LEwupPVrUyduEvsOMXsftOR0bZ7F9xG-BoseMElc0	esper-bionics	Загальна	2024	1. Esper Bionics Протокол зустрічі. HR (2024-06-27).docx
1x2LBeGffkhNiho5YMk7HwRnCIJu7D1V_	бойові-птахи-україни-тов-warbirds	Загальна	0	1 - БПУ_Протокол зборів_6_.pdf
1GlhFmWgim_L11Akc9aaciitpYXzz4p56YpwDymEb53s	тов-віп-принт	Збір вимог	2023	1.Протокол обстеження (проведення інтерв'ю)_10.10.23.docx
1XJ9rq7yj_qu44KGRf3b1XwB3oEX09S_qvZiBSgQCAXM	тов-стар-світ-юа-логістика	Загальна	2024	2024-01-16 Протокол зустрічі.docx
1lGFXbMjjRQYPLP-2h-HBmQCbHCNOE3dqWaw_rFpG95A	2-архів	Демонстрація	2024	2024-02-02. Протокол встречи. Демонстрация моделирования (Закупки, продажи, счета, оплаты, валюты, бухучет).docx
1TrmNnmlEQNdrUuhoyj8v9mFLktDvb4jB	pilab	Установча	2026	2026-02-16 -- Протокол установчої зустрічі.docx
1BD-U-oqdHYGoN8-2EjKz-iiq-aPsQwvw	pilab	Загальна	2026	2026-02-18 -- Протокол зустрічі з методологом.docx
1BRxwRyyVcACOpgYEkddZ5kIqDHyOUv8UPzAfTqvz5iY	diason	Установча	2026	2026-02-20. Протокол установчої зустрічі.docx
1hxkUEohmrwhGBAM475Jrs_DdgWfMF3Xl	pilab	Статусна	2026	2026-02-23 -- Протокол статусної зустрічі.docx
1-1zB8GMn1AWC3ItBFU8cnahxpD3Lg_CZ9MtyHfZLmnk	diason	Статусна	2026	2026-02-23. Протокол статусної зустрічі.docx
1AAcdqsSWSu7JD5e9-VgEiwXzelqXVJ7HhRccJgzXUtk	diason	Фінанси	2026	2026-02-25. Протокол зустрічі. Збір вимог. Управлінський облік (№1).docx
